title,price,categoryName,address,neighborhood,street,city,postalCode,state,countryCode,website,phone,phoneUnformatted,claimThisBusiness,location,totalScore,permanentlyClosed,temporarilyClosed,placeId,categories,fid,cid,reviewsCount,imagesCount,imageCategories,scrapedAt,googleFoodUrl,hotelAds,openingHours,peopleAlsoSearch,placesTags,reviewsTags,additionalInfo,gasPrices,url,searchPageUrl,searchString,language,rank,isAdvertisement,imageUrl,kgmid,search_service,search_metro,batch_number,scraped_timestamp,reviewsDistribution,additionalOpeningHours,isExternalServicePlace,externalId,description,reserveTableUrl
Teamwork Home Designs - General Contractor Austin,,Kitchen remodeler,"8101 Cameron Rd #210, Austin, TX 78754",Berkley Square - Headway,8101 Cameron Rd #210,Austin,78754,Texas,US,https://teamworkhomedesigns.com/,(512) 757-3760,+15127573760,False,"{'lat': 30.3366, 'lng': -97.682857}",5.0,False,False,ChIJIzlZAf8WBa0RSLKCjRa3HdU,"['Kitchen remodeler', 'Bathroom remodeler', 'General contractor']",0xad0516ff01593923:0xd51db7168d82b248,15356631611894575688,165.0,1246.0,[],2026-03-02T07:54:32.941Z,,[],"[{'day': 'Monday', 'hours': '8:30\u202fAM to 6\u202fPM'}, {'day': 'Tuesday', 'hours': '8:30\u202fAM to 6\u202fPM'}, {'day': 'Wednesday', 'hours': '8:30\u202fAM to 6\u202fPM'}, {'day': 'Thursday', 'hours': '8:30\u202fAM to 6\u202fPM'}, {'day': 'Friday', 'hours': '8:30\u202fAM to 6\u202fPM'}, {'day': 'Saturday', 'hours': 'Closed'}, {'day': 'Sunday', 'hours': 'Closed'}]",[],[],[],"{'Service options': [{'Online estimates': True}, {'Onsite services': True}], 'Accessibility': [{'Wheelchair accessible entrance': True}, {'Wheelchair accessible parking lot': True}, {'Wheelchair accessible restroom': True}, {'Wheelchair accessible seating': True}], 'Amenities': [{'Gender-neutral restroom': True}]}",[],https://www.google.com/maps/search/?api=1&query=Teamwork%20Home%20Designs%20-%20General%20Contractor%20Austin&query_place_id=ChIJIzlZAf8WBa0RSLKCjRa3HdU,"https://www.google.com/maps/search/kitchen%20remodeling%20contractor%20near%20Austin,%20TX/@30.35154298831418,-97.63628741017266,17z?hl=en","kitchen remodeling contractor near Austin, TX",en,1,False,https://lh3.googleusercontent.com/p/AF1QipMUatq1A2YTyyYI10iBQeJk8JbddIJJzZgIWx3_=w408-h271-k-no,/g/11t5m7r829,kitchen remodeling contractor,"Austin, TX",1,2026-03-02T01:54:57.481764,,,,,,
ATX Construction & Remodeling General Contractor Austin,,Kitchen remodeler,"7600 Chevy Chase Dr Bldg. 2, Suite 300, Austin, TX 78752",St. Johns,"7600 Chevy Chase Dr Bldg. 2, Suite 300",Austin,78752,Texas,US,https://atxconstructions.com/,(737) 510-4833,+17375104833,False,"{'lat': 30.3409607, 'lng': -97.7045468}",5.0,False,False,ChIJD-wzOpjLRIYRnNqbwzHu1do,"['Kitchen remodeler', 'Bathroom remodeler', 'Construction company', 'Flooring contractor', 'General contractor', 'Painting', 'Remodeler', 'Roofing contractor']",0x8644cb983a33ec0f:0xdad5ee31c39bda9c,15768771567810239132,81.0,344.0,[],2026-03-02T07:54:32.942Z,,[],"[{'day': 'Monday', 'hours': 'Open 24 hours'}, {'day': 'Tuesday', 'hours': 'Open 24 hours'}, {'day': 'Wednesday', 'hours': 'Open 24 hours'}, {'day': 'Thursday', 'hours': 'Open 24 hours'}, {'day': 'Friday', 'hours': 'Open 24 hours'}, {'day': 'Saturday', 'hours': 'Open 24 hours'}, {'day': 'Sunday', 'hours': 'Open 24 hours'}]",[],[],[],"{'Service options': [{'Onsite services': True}], 'Accessibility': [{'Wheelchair accessible entrance': True}, {'Wheelchair accessible parking lot': True}]}",[],https://www.google.com/maps/search/?api=1&query=ATX%20Construction%20%26%20Remodeling%20General%20Contractor%20Austin&query_place_id=ChIJD-wzOpjLRIYRnNqbwzHu1do,"https://www.google.com/maps/search/kitchen%20remodeling%20contractor%20near%20Austin,%20TX/@30.35154298831418,-97.63628741017266,17z?hl=en","kitchen remodeling contractor near Austin, TX",en,2,False,https://lh3.googleusercontent.com/p/AF1QipMFnXtGC8X9a_mnfM9SWSVGuc91HCDGmeLYRxBB=w408-h350-k-no,/g/11kb8jr7p7,kitchen remodeling contractor,"Austin, TX",1,2026-03-02T01:54:57.495391,,,,,,
Kitchen Central,,Kitchen remodeler,"3010 W Anderson Ln. C, Austin, TX 78757",North Shoal Creek,3010 W Anderson Ln. C,Austin,78757,Texas,US,https://www.kitchencentral.com/,(512) 277-2121,+15122772121,False,"{'lat': 30.3613243, 'lng': -97.7394681}",4.7,False,False,ChIJ9V8MJafLRIYRM0GxTSCI51E,"['Kitchen remodeler', 'Bathroom remodeler', 'Cabinet maker', 'Countertop contractor', 'General contractor']",0x8644cba7250c5ff5:0x51e788204db14133,5901835509016117555,85.0,339.0,[],2026-03-02T07:54:32.942Z,,[],"[{'day': 'Monday', 'hours': '9\u202fAM to 6\u202fPM'}, {'day': 'Tuesday', 'hours': '9\u202fAM to 6\u202fPM'}, {'day': 'Wednesday', 'hours': '9\u202fAM to 6\u202fPM'}, {'day': 'Thursday', 'hours': '9\u202fAM to 6\u202fPM'}, {'day': 'Friday', 'hours': '9\u202fAM to 6\u202fPM'}, {'day': 'Saturday', 'hours': '9\u202fAM to 6\u202fPM'}, {'day': 'Sunday', 'hours': 'Closed'}]",[],[],[],"{'Service options': [{'Delivery': True}, {'Onsite services': True}, {'Online estimates': False}], 'Accessibility': [{'Wheelchair accessible entrance': True}, {'Wheelchair accessible parking lot': True}], 'Offerings': [{'Installation service': True}, {'Repair services': True}], 'Amenities': [{'Wi-Fi': True}, {'Free Wi-Fi': True}], 'Payments': [{'Checks': True}, {'Credit cards': True}, {'Debit cards': True}, {'NFC mobile payments': True}]}",[],https://www.google.com/maps/search/?api=1&query=Kitchen%20Central&query_place_id=ChIJ9V8MJafLRIYRM0GxTSCI51E,"https://www.google.com/maps/search/kitchen%20remodeling%20contractor%20near%20Austin,%20TX/@30.35154298831418,-97.63628741017266,17z?hl=en","kitchen remodeling contractor near Austin, TX",en,3,False,https://lh3.googleusercontent.com/p/AF1QipNscPyM5xVUG6Gp9sPVc7hEQjV3v18Dm6Oz9_Ws=w408-h277-k-no,/g/11csqgc7pw,kitchen remodeling contractor,"Austin, TX",1,2026-03-02T01:54:57.495404,,,,,,
AGC Home Remodeling & Construction,,Kitchen remodeler,"8204 N Lamar Blvd B13, Austin, TX 78753",North Austin Civic Association,8204 N Lamar Blvd B13,Austin,78753,Texas,US,https://www.agchomeremodeling.com/,(512) 900-1688,+15129001688,False,"{'lat': 30.3515425, 'lng': -97.7099171}",4.7,False,False,ChIJW9R44ATLRIYRif2Q3Vd7rek,"['Kitchen remodeler', 'Home builder', 'General contractor']",0x8644cb04e078d45b:0xe9ad7b57dd90fd89,16838250199117790601,44.0,285.0,[],2026-03-02T07:54:32.949Z,,[],"[{'day': 'Monday', 'hours': '9\u202fAM to 6\u202fPM'}, {'day': 'Tuesday', 'hours': '9\u202fAM to 6\u202fPM'}, {'day': 'Wednesday', 'hours': '9\u202fAM to 6\u202fPM'}, {'day': 'Thursday', 'hours': '9\u202fAM to 6\u202fPM'}, {'day': 'Friday', 'hours': '9\u202fAM to 6\u202fPM'}, {'day': 'Saturday', 'hours': '9\u202fAM to 6\u202fPM'}, {'day': 'Sunday', 'hours': '9\u202fAM to 6\u202fPM'}]",[],[],[],"{'Service options': [{'Online estimates': True}, {'Onsite services': True}, {'English': True}], 'Accessibility': [{'Wheelchair accessible entrance': True}, {'Wheelchair accessible parking lot': True}], 'Crowd': [{'LGBTQ+ friendly': True}, {'Transgender safespace': True}], 'Parking': [{'Free parking lot': True}, {'On-site parking': True}]}",[],https://www.google.com/maps/search/?api=1&query=AGC%20Home%20Remodeling%20%26%20Construction&query_place_id=ChIJW9R44ATLRIYRif2Q3Vd7rek,"https://www.google.com/maps/search/kitchen%20remodeling%20contractor%20near%20Austin,%20TX/@30.35154298831418,-97.63628741017266,17z?hl=en","kitchen remodeling contractor near Austin, TX",en,4,False,https://lh3.googleusercontent.com/p/AF1QipORWu-WvhXamvRDRXRjR8pt4NSqigHDPT4dCCOL=w408-h271-k-no,/g/11s7tjx9mp,kitchen remodeling contractor,"Austin, TX",1,2026-03-02T01:54:57.495409,,,,,,
THA Construction & Remodeling,,Kitchen remodeler,"2021 Guadalupe St Suite 260, Austin, TX 78705",West University,2021 Guadalupe St Suite 260,Austin,78705,Texas,US,https://thaconstruction.com/,(512) 736-8585,+15127368585,False,"{'lat': 30.2833571, 'lng': -97.7414929}",4.9,False,False,ChIJZSfzx0PFRIYRG5JJkFvh6XI,"['Kitchen remodeler', 'Bathroom remodeler', 'Countertop contractor', 'Flooring contractor', 'General contractor', 'Painter', 'Remodeler', 'Tile contractor', 'Water damage restoration service']",0x8644c543c7f32765:0x72e9e15b9049921b,8280397173276381723,128.0,649.0,[],2026-03-02T07:54:32.950Z,,[],"[{'day': 'Monday', 'hours': '9\u202fAM to 8\u202fPM'}, {'day': 'Tuesday', 'hours': '9\u202fAM to 8\u202fPM'}, {'day': 'Wednesday', 'hours': '9\u202fAM to 8\u202fPM'}, {'day': 'Thursday', 'hours': '9\u202fAM to 8\u202fPM'}, {'day': 'Friday', 'hours': '9\u202fAM to 8\u202fPM'}, {'day': 'Saturday', 'hours': '9\u202fAM to 8\u202fPM'}, {'day': 'Sunday', 'hours': '9\u202fAM to 8\u202fPM'}]",[],[],[],"{'Service options': [{'Online estimates': True}, {'Onsite services': True}, {'English': True}], 'Accessibility': [{'Wheelchair accessible entrance': True}, {'Wheelchair accessible parking lot': True}], 'Crowd': [{'LGBTQ+ friendly': True}, {'Transgender safespace': True}]}",[],https://www.google.com/maps/search/?api=1&query=THA%20Construction%20%26%20Remodeling&query_place_id=ChIJZSfzx0PFRIYRG5JJkFvh6XI,"https://www.google.com/maps/search/kitchen%20remodeling%20contractor%20near%20Austin,%20TX/@30.35154298831418,-97.63628741017266,17z?hl=en","kitchen remodeling contractor near Austin, TX",en,5,False,https://lh3.googleusercontent.com/p/AF1QipMDgUDHCn3vuNzYJ94QZoiIX8R1yhLa8Ws822s3=w408-h407-k-no,/g/11j7h6mhjl,kitchen remodeling contractor,"Austin, TX",1,2026-03-02T01:54:57.495422,,,,,,
New Creations Custom Kitchen and Bath,,General contractor,"11716 Big Trail, Austin, TX 78759",Mesa Park,11716 Big Trail,Austin,78759,Texas,US,http://www.newcreationsaustin.com/,(512) 963-9043,+15129639043,False,"{'lat': 30.4148335, 'lng': -97.7378283}",5.0,False,False,ChIJaw6UPl7MRIYRVsRUaIvM-NM,"['General contractor', 'Remodeler']",0x8644cc5e3e940e6b:0xd3f8cc8b6854c456,15274183035349943382,84.0,389.0,[],2026-03-02T07:54:32.950Z,,[],"[{'day': 'Monday', 'hours': '8\u202fAM to 5\u202fPM'}, {'day': 'Tuesday', 'hours': '8\u202fAM to 5\u202fPM'}, {'day': 'Wednesday', 'hours': '8\u202fAM to 5\u202fPM'}, {'day': 'Thursday', 'hours': '8\u202fAM to 5\u202fPM'}, {'day': 'Friday', 'hours': '8\u202fAM to 5\u202fPM'}, {'day': 'Saturday', 'hours': 'Closed'}, {'day': 'Sunday', 'hours': 'Closed'}]",[],[],[],"{'Service options': [{'Onsite services': True}, {'Online estimates': False}], 'Accessibility': [{'Wheelchair accessible entrance': True}, {'Wheelchair accessible parking lot': True}]}",[],https://www.google.com/maps/search/?api=1&query=New%20Creations%20Custom%20Kitchen%20and%20Bath&query_place_id=ChIJaw6UPl7MRIYRVsRUaIvM-NM,"https://www.google.com/maps/search/kitchen%20remodeling%20contractor%20near%20Austin,%20TX/@30.35154298831418,-97.63628741017266,17z?hl=en","kitchen remodeling contractor near Austin, TX",en,6,False,https://lh3.googleusercontent.com/p/AF1QipMDA-gaOMwMjXK0cotnb239mJ9Fg7Hx8fq-7zKW=w408-h271-k-no,/g/1tfp2vn3,kitchen remodeling contractor,"Austin, TX",1,2026-03-02T01:54:57.495426,,,,,,
Q Construction Solutions,,General contractor,"2213 Forbes Dr, Austin, TX 78754",Walnut Creek-Pioneer Hill,2213 Forbes Dr,Austin,78754,Texas,US,https://www.qconstructionsolutions.com/,(844) 778-4257,+18447784257,False,"{'lat': 30.3343272, 'lng': -97.67349}",4.8,False,False,ChIJX-ZNcFfKRIYRDZI3KVwoQVA,"['General contractor', 'Contractor', 'Remodeler']",0x8644ca57704de65f:0x5041285c2937920d,5782947772814037517,35.0,161.0,[],2026-03-02T07:54:32.950Z,,[],"[{'day': 'Monday', 'hours': '9\u202fAM to 6\u202fPM'}, {'day': 'Tuesday', 'hours': '9\u202fAM to 6\u202fPM'}, {'day': 'Wednesday', 'hours': '9\u202fAM to 6\u202fPM'}, {'day': 'Thursday', 'hours': '9\u202fAM to 6\u202fPM'}, {'day': 'Friday', 'hours': '9\u202fAM to 6\u202fPM'}, {'day': 'Saturday', 'hours': 'Closed'}, {'day': 'Sunday', 'hours': 'Closed'}]",[],[],[],"{'Accessibility': [{'Wheelchair accessible parking lot': True}], 'Parking': [{'On-site parking': True}]}",[],https://www.google.com/maps/search/?api=1&query=Q%20Construction%20Solutions&query_place_id=ChIJX-ZNcFfKRIYRDZI3KVwoQVA,"https://www.google.com/maps/search/kitchen%20remodeling%20contractor%20near%20Austin,%20TX/@30.35154298831418,-97.63628741017266,17z?hl=en","kitchen remodeling contractor near Austin, TX",en,7,False,https://lh3.googleusercontent.com/p/AF1QipNce1q-V0I_Rt_R1CIBsKESHEVSRMSxTwTepASr=w408-h272-k-no,/g/11dyx6s55r,kitchen remodeling contractor,"Austin, TX",1,2026-03-02T01:54:57.495448,,,,,,
Craftsman Collective Remodeling,,Kitchen remodeler,"610 E 45th St, Austin, TX 78751",Hyde Park,610 E 45th St,Austin,78751,Texas,US,https://craftsmancollectiveremodeling.com/,(512) 337-6774,+15123376774,False,"{'lat': 30.3068562, 'lng': -97.7227445}",4.8,False,False,ChIJi2wJFfWLnIwRCV6RbjGIiyY,"['Kitchen remodeler', 'Bathroom remodeler', 'Carpenter', 'Construction company', 'Remodeler']",0x8c9c8bf515096c8b:0x268b88316e915e09,2777463341093838345,38.0,28.0,[],2026-03-02T07:54:32.950Z,,[],"[{'day': 'Monday', 'hours': 'Open 24 hours'}, {'day': 'Tuesday', 'hours': 'Open 24 hours'}, {'day': 'Wednesday', 'hours': 'Open 24 hours'}, {'day': 'Thursday', 'hours': 'Open 24 hours'}, {'day': 'Friday', 'hours': 'Open 24 hours'}, {'day': 'Saturday', 'hours': 'Open 24 hours'}, {'day': 'Sunday', 'hours': 'Open 24 hours'}]",[],[],[],"{'Service options': [{'Online estimates': True}, {'English': True}]}",[],https://www.google.com/maps/search/?api=1&query=Craftsman%20Collective%20Remodeling&query_place_id=ChIJi2wJFfWLnIwRCV6RbjGIiyY,"https://www.google.com/maps/search/kitchen%20remodeling%20contractor%20near%20Austin,%20TX/@30.35154298831418,-97.63628741017266,17z?hl=en","kitchen remodeling contractor near Austin, TX",en,8,False,https://lh3.googleusercontent.com/p/AF1QipMJGZFIJAKZydq1KlnI0fEPGmmCcrtacNuCQjfe=w408-h312-k-no,/g/11w_tg1skm,kitchen remodeling contractor,"Austin, TX",1,2026-03-02T01:54:57.497645,,,,,,
Grace Remodeling & Construction,,Kitchen remodeler,,,,,,,,,(512) 497-1529,+15124971529,False,"{'lat': 30.3083906, 'lng': -97.6800568}",4.9,False,False,ChIJ6blXZxXJRIYR_dkU3RB5q-A,"['Kitchen remodeler', 'Bathroom remodeler', 'Service establishment', 'Fence contractor']",0x8644c9156757b9e9:0xe0ab7910dd14d9fd,16189166398848948733,45.0,33.0,[],2026-03-02T07:54:32.950Z,,[],"[{'day': 'Monday', 'hours': '5\u202fAM to 10\u202fPM'}, {'day': 'Tuesday', 'hours': '5\u202fAM to 10\u202fPM'}, {'day': 'Wednesday', 'hours': '5\u202fAM to 10\u202fPM'}, {'day': 'Thursday', 'hours': '5\u202fAM to 10\u202fPM'}, {'day': 'Friday', 'hours': '5\u202fAM to 10\u202fPM'}, {'day': 'Saturday', 'hours': '5\u202fAM to 10\u202fPM'}, {'day': 'Sunday', 'hours': 'Closed'}]",[],[],[],{'Payments': [{'Credit cards': True}]},[],https://www.google.com/maps/search/?api=1&query=Grace%20Remodeling%20%26%20Construction&query_place_id=ChIJ6blXZxXJRIYR_dkU3RB5q-A,"https://www.google.com/maps/search/kitchen%20remodeling%20contractor%20near%20Austin,%20TX/@30.35154298831418,-97.63628741017266,17z?hl=en","kitchen remodeling contractor near Austin, TX",en,9,False,https://lh3.googleusercontent.com/p/AF1QipMZQ5C6uEUM1vper92lNwFPUtt3Jucvajbwu0zp=w408-h272-k-no,/g/11pwxc8ghs,kitchen remodeling contractor,"Austin, TX",1,2026-03-02T01:54:57.497649,,,,,,
Kitchen Remodeling AJ,,Kitchen remodeler,"3605 Steck Ave, Austin, TX 78759",Westover Hills,3605 Steck Ave,Austin,78759,Texas,US,https://kitchenandbathroomremodelingaj.com/,(512) 885-3467,+15128853467,False,"{'lat': 30.3689747, 'lng': -97.7449274}",4.9,False,False,ChIJl8Wr2TfLRIYRo-ABDpMnJYw,['Kitchen remodeler'],0x8644cb37d9abc597:0x8c2527930e01e0a3,10098521251996885155,19.0,6.0,[],2026-03-02T07:54:32.951Z,,[],"[{'day': 'Monday', 'hours': '7\u202fAM to 7\u202fPM'}, {'day': 'Tuesday', 'hours': '7\u202fAM to 7\u202fPM'}, {'day': 'Wednesday', 'hours': '7\u202fAM to 7\u202fPM'}, {'day': 'Thursday', 'hours': '7\u202fAM to 7\u202fPM'}, {'day': 'Friday', 'hours': '7\u202fAM to 7\u202fPM'}, {'day': 'Saturday', 'hours': '8\u202fAM to 6\u202fPM'}, {'day': 'Sunday', 'hours': 'Closed'}]",[],[],[],"{'From the business': [{'Small business': True}], 'Service options': [{'Onsite services': True}, {'English': True}], 'Accessibility': [{'Wheelchair accessible restroom': True}, {'Wheelchair accessible seating': True}], 'Offerings': [{'Installation service': True}], 'Amenities': [{'Gender-neutral restroom': True}], 'Parking': [{'Free parking garage': True}, {'On-site parking': True}]}",[],https://www.google.com/maps/search/?api=1&query=Kitchen%20Remodeling%20AJ&query_place_id=ChIJl8Wr2TfLRIYRo-ABDpMnJYw,"https://www.google.com/maps/search/kitchen%20remodeling%20contractor%20near%20Austin,%20TX/@30.35154298831418,-97.63628741017266,17z?hl=en","kitchen remodeling contractor near Austin, TX",en,11,False,https://lh3.googleusercontent.com/p/AF1QipNSxnfJ3eAFmLDxIIOICkWb77B3E_FbQkPxL2vK=w408-h342-k-no,/g/11scvd6pht,kitchen remodeling contractor,"Austin, TX",1,2026-03-02T01:54:57.497651,,,,,,
