Audience Name,Location,Lead Count,Description
"Ortal_New York_Mock_2025-08-18","New York",122,"Mock leads from New York area"
"Ortal_Austin_Mock_2025-08-18","Austin",98,"Mock leads from Austin area"
"Ortal_Dallas_Mock_2025-08-18","Dallas",106,"Mock leads from Dallas area"
"Ortal_Los Angeles_Mock_2025-08-18","Los Angeles",114,"Mock leads from Los Angeles area"
"Ortal_Atlanta_Mock_2025-08-18","Atlanta",110,"Mock leads from Atlanta area"
"Ortal_Washington DC_Mock_2025-08-18","Washington DC",103,"Mock leads from Washington DC area"
"Ortal_Nashville_Mock_2025-08-18","Nashville",116,"Mock leads from Nashville area"
"Ortal_Miami_Mock_2025-08-18","Miami",137,"Mock leads from Miami area"
"Ortal_San Francisco_Mock_2025-08-18","San Francisco",111,"Mock leads from San Francisco area"
"Ortal_Denver_Mock_2025-08-18","Denver",107,"Mock leads from Denver area"
"Ortal_Chicago_Mock_2025-08-18","Chicago",110,"Mock leads from Chicago area"
"Ortal_Seattle_Mock_2025-08-18","Seattle",103,"Mock leads from Seattle area"
"Ortal_Houston_Mock_2025-08-18","Houston",115,"Mock leads from Houston area"
"Ortal_Philadelphia_Mock_2025-08-18","Philadelphia",110,"Mock leads from Philadelphia area"
"Ortal_Boston_Mock_2025-08-18","Boston",102,"Mock leads from Boston area"
"Ortal_Phoenix_Mock_2025-08-18","Phoenix",109,"Mock leads from Phoenix area"
"Ortal_Las Vegas_Mock_2025-08-18","Las Vegas",118,"Mock leads from Las Vegas area"
"Ortal_Portland_Mock_2025-08-18","Portland",109,"Mock leads from Portland area"
