cred_id,n8n Nodes,Credential Type,Working?,n8n Reference,Created,Last Modified,Status (AI evaluation),Security Risk (AI Score)
a1FbnZq8zYHCYUeK,Home Assistant API,,,https://docs.n8n.io/integrations/builtin/credentials/homeassistant/?utm_source=n8n_app&utm_medium=credential_settings&utm_campaign=create_new_credentials_modal,8/28/2025 11:52pm,8/28/2025 11:53pm,,
2xsUzGGwVhSw4Ivq,Facebook Graph API (App),,,https://docs.n8n.io/integrations/builtin/credentials/facebookgraph/?utm_source=n8n_app&utm_medium=credential_settings&utm_campaign=create_new_credentials_modal,8/29/2025 12:05am,8/29/2025 3:10am,,
VJ7HOBTw0FthJ9eq,MongoDB,,,https://docs.n8n.io/integrations/builtin/credentials/mongodb/?utm_source=n8n_app&utm_medium=credential_settings&utm_campaign=create_new_credentials_modal,8/29/2025 2:19am,8/29/2025 2:19am,,
huBYp4d6CEnIiqI3,Rollbar,Header Auth,,https://docs.n8n.io/integrations/builtin/credentials/httprequest/?utm_source=n8n_app&utm_medium=credential_settings&utm_campaign=create_new_credentials_modal,8/28/2025 11:57pm,8/29/2025 12:01am,,
dx3VMhzp86kI6jYo,eSignatures,Header Auth,,https://docs.n8n.io/integrations/builtin/credentials/httprequest/?utm_source=n8n_app&utm_medium=credential_settings&utm_campaign=create_new_credentials_modal,8/29/2025 12:02am,8/29/2025 12:02am,,
P86mF2xQYdzPdcJa,hyperise,Header Auth,,https://docs.n8n.io/integrations/builtin/credentials/httprequest/?utm_source=n8n_app&utm_medium=credential_settings&utm_campaign=create_new_credentials_modal,8/29/2025 12:02am,8/29/2025 12:03am,,
8tMhZyf61E7WOToe,RackNerd,SSH,,https://docs.n8n.io/integrations/builtin/credentials/ssh/?utm_source=n8n_app&utm_medium=credential_settings&utm_campaign=create_new_credentials_modal,8/29/2025 12:00am,8/29/2025 12:01am,,
T3cDMFPGa0YUPBLk,SerpAPI,,checked,,8/28/2025 11:55pm,8/28/2025 11:55pm,,
DplgDU4nURvfy8Qb,Slack OAuth2 API,,checked,,8/28/2025 11:55pm,8/28/2025 11:56pm,,
tilk3s6sK9ATRt9r,Airtable Personal Access Token API,,checked,,8/28/2025 11:56pm,8/28/2025 11:56pm,,
Lv9VVBfeJsuZQ0B3,Webflow OAuth2 API,,checked,,8/29/2025 12:03am,8/29/2025 12:03am,,
9O8piUXp589yofJc,Stripe API,,checked,,8/29/2025 12:04am,8/29/2025 12:04am,,
qkyDU8hoQOG0JxO8,Typeform API,,checked,,8/29/2025 12:04am,8/29/2025 12:04am,,
kfHhz8EaVCEIcbu0,QuickBooks Online OAuth2 API,,checked,,8/29/2025 12:05am,8/29/2025 12:05am,,
8CiYBKzWyePJydX8,GitHub API,,checked,,8/29/2025 12:06am,8/29/2025 12:06am,,
VPqW9GBtqeLVRVw7,HuggingFaceApi,,checked,,8/29/2025 12:07am,8/29/2025 12:07am,,
0sXFXYfqiDEKuDcN,OpenAi,,checked,,8/29/2025 12:07am,8/29/2025 12:08am,,
XorqqpNVvabnf8Ko,OpenRouter,,checked,,8/29/2025 12:08am,8/29/2025 12:08am,,
CNuOTZrvwNFkjv7U,Zoho OAuth2 API,,checked,,8/29/2025 12:08am,8/29/2025 12:08am,,
cG7UVwSbYjSYBg4P,Microsoft Outlook OAuth2 API,,checked,,8/29/2025 12:08am,8/29/2025 12:09am,,
bOftv5dScq3IjYQQ,Anthropic,,checked,,8/29/2025 12:09am,8/29/2025 12:09am,,
lJiKppXwpskAZIOW,Apify API,,checked,,8/29/2025 12:14am,8/29/2025 12:14am,,
yEEqLVMzOlo1L0xI,ElevenLabs API,,checked,,8/29/2025 1:03am,8/29/2025 1:03am,,
0WW3IfTfTah5WAnl,Telegram API,,checked,,8/29/2025 1:22am,8/29/2025 1:23am,,
j9Xh65SA8QyOJGO1,Supabase API,,checked,,8/29/2025 1:34am,8/29/2025 1:35am,,
bRGk4WYQWeUUtviR,Sentry.io API,,checked,,8/29/2025 1:41am,8/29/2025 1:41am,,
